 abalone australian energy-heat german heart hepatitis imseg ionosphere letter magic monks2 msa nursery pima planning seeds sonar synthetic tictac vehicle voting wine chess connect-4 mammograph miniboone shuttle
10 60.55 80.87 82.17 73.25 84.48 79.35 75.65 78.33 39.2 74.8 65.53 94.1 66.35 72.27 71.63 94.73 63.85 72.17 69.21 60.41 86.73 95.02 21.24 65.84 75.04 74.86 78.96
20 60.95 80.29 86.58 69.96 83.72 82.59 83.08 81.88 52.59 76.58 64.13 98.92 80.38 75.52 69.3 95.25 69.12 76.5 74.53 69.03 93.59 95.75 23.18 67.14 75.05 83.32 81.36
30 62.44 84.93 87.23 72.96 83.36 86.44 86.14 81.92 54.7 78.33 59.29 98.77 85.51 76.04 62.86 94.27 71.67 87.5 75.79 68.32 92.71 97.92 26.71 68.14 75.83 79.26 83.25
40 63.11 84.93 88.01 66.96 80.05 84.55 86.67 85.97 58.77 77.74 59.24 99.92 88.15 75.39 67.13 93.87 75.91 85.83 85.28 73.62 94.19 96.49 26.6 67.46 77.22 85.07 85.82
50 63.83 84.06 88.53 70.24 80.76 81.97 87.44 83.06 62.23 80.09 64.61 100 88.34 76.04 64.13 94.73 70.25 91.67 79.85 76.46 93.26 94.98 27.15 69.34 76.13 85.15 88.2
60 64.57 85.07 88.14 71.6 81.15 80.67 89.07 85.39 60.13 79.26 72.5 100 87.87 75.52 60.69 94.79 73.67 91.67 94.67 75.65 93.28 95.75 28.6 68.63 78.63 86.34 89.97
70 64.59 85.37 88.14 69.95 80.39 81.29 89.55 83.38 63.72 80.76 65.33 100 88.18 76.43 63.52 92.94 74.61 91.33 91.13 76.35 93.31 97.88 29.2 69.88 78.32 87.3 88.85
80 65.02 85.95 87.75 69.94 79.63 86.44 89.64 87.92 63.25 81.37 52.61 100 88.28 76.17 57.25 93.87 75.91 93.17 95.41 75.87 93.31 98.61 30.29 71.03 77.38 88.27 90.52
90 65.26 84.79 88.66 63.37 79.68 78.68 90.17 85.93 64.78 81.24 56.47 100 88.75 76.82 59.02 93.87 72.18 92.67 94.26 77.52 93.02 97.88 30.55 69.11 78 87.06 90.81
100 65.43 85.8 88.66 70.23 76.72 74.87 90.84 87.9 66.33 81.65 62.02 100 89.2 76.95 50.42 92.77 73.52 94.67 94.16 78.23 92.67 97.1 30.73 70.07 76.6 88.48 91.33
110 65.65 85.22 88.92 71.88 76.33 76.11 89.93 84.51 65.39 82.62 66.35 100 89.04 77.21 54.58 94.73 73.71 94.67 93.84 78.82 93.28 95.06 30.48 71.38 76.13 87.92 91.45
120 65.84 84.63 88.92 62.86 78.57 76.8 91.23 87.96 68.15 82.73 56.44 100 89.17 76.95 57.41 92.42 72.22 95.33 94.88 78.36 95.01 97.83 31.42 71.42 77.07 88.54 91.53
130 65.79 85.51 88.92 66.39 76.75 74.78 90.84 84.81 68.12 82.62 58.09 100 89.56 76.3 52.36 91.03 72.61 94.17 94.78 79.3 93.59 97.1 31.83 71.26 77.38 89.13 91.88
140 65.81 84.06 87.23 68.3 76.33 76.13 91.75 83.68 68.28 82.36 63.87 100 89.23 76.17 50.03 90.45 79.33 95.33 97.49 79.3 93.9 96.41 32.57 71.49 76.13 88.56 91.82
150 66.08 84.64 89.58 61.21 79.32 56.78 91.32 85.39 68.51 82.75 60.44 100 89.49 77.34 52.91 89.99 72.84 97 97.49 79.63 90.88 96.41 32.66 71.29 76.46 88.88 92.03
160 66.17 85.07 90.88 65.57 76.73 69.08 92.04 82.52 69.48 82.61 63.42 100 89.37 76.04 52.57 88.6 75.05 94.67 98.02 77.88 93.57 90.73 33.74 71.56 77.06 89.41 93.01
170 65.69 85.36 91.01 65.59 72.28 74.73 92.28 82.06 69.15 82.94 50.67 100 89.31 76.04 49.69 82.12 69.63 94.83 96.24 79.19 92.11 90.77 34.88 72.24 78.49 89.21 93.17
180 66.31 85.35 92.45 63.64 73.02 73.5 92.57 83.99 69.68 82.84 51.87 100 89.75 75.52 47.36 79.92 66.09 96.5 96.97 79.07 90.96 82.35 34.7 72.41 77.23 89.03 93.21
190 66.03 84.78 89.7 63.64 67.84 78.05 92.48 83.64 70.82 83.25 55.09 100 89.77 76.17 54.13 70.49 64.21 96.5 98.02 80.47 89.2 72.34 34.65 72.84 78.32 89.56 93.1
200 66.2 85.94 91.67 69.37 71.19 74.22 92.42 83.72 71.93 82.97 54.14 100 90.08 75.39 52.14 63.89 61.61 95.83 97.08 79.78 88.6 62.25 34.91 72.6 77.23 89.55 93.45
210 66.05 84.92 91.01 60.89 74.47 74.81 93.34 84.87 72.17 83.48 55.77 100 90.26 75.52 48.86 47.05 60.51 94.83 97.6 78.81 88.36 86.52 34.36 73.13 77.86 90.09 93.77
220 66.39 83.91 91.66 58.48 65.31 76.13 93.53 83.48 71.79 83.75 52.3 100 90.45 75.78 49.31 62.38 64.05 96.67 97.81 80.82 85.91 92.2 35.77 73.04 77.38 89.7 93.68
230 66.03 83.04 91.53 58.15 66.72 74.17 92.91 80.31 71.88 83.79 53.71 100 90.13 75.78 48.7 62.85 65.85 96.67 97.39 82.71 85.48 84.93 36.31 72.79 75.98 89.83 94.24
240 66.29 82.46 92.18 65.27 70.09 78.07 93.48 80.63 72.61 83.64 52.49 100 91.05 75.91 50.53 64.06 71.67 95.83 98.12 78.11 84.21 92.93 35.71 72.81 77.86 90.01 94.13
250 66.56 84.34 93.61 61.23 58.52 74.81 93.38 80.57 72.12 83.88 53.25 100 89.95 74.87 49.76 64.35 69.55 94 96.76 80.23 85.71 92.2 36.58 73.83 77.7 89.99 94.37
260 66.75 84.04 92.31 63.65 67.8 76.77 93.48 80.37 72.57 83.94 54.58 100 90.61 74.74 53.31 66.2 73.59 96 98.12 80 83.39 97.14 36.78 73.63 75.22 90.04 94.83
270 66.17 84.06 92.97 59.62 59.57 79.28 93.77 78.81 72.91 83.74 56.62 100 90.83 75.78 56.3 69.04 75.09 95.17 97.81 80.7 81.91 88.77 36.71 72.94 75.83 89.97 94.69
280 66.17 82.89 93.36 59.29 58.16 81.26 93.15 80.01 73.41 83.9 52.92 100 91.27 74.61 50.53 67.19 77.72 95.67 97.7 80.69 78.75 95.02 37.35 73.64 73.8 90.06 94.64
290 66.39 82.31 91.66 65.03 59.25 75.46 94.15 74.51 74.14 84.05 53.66 100 90.79 73.7 53.41 70.6 79.84 95.17 97.91 81.4 78.82 92.85 37.6 73.92 73.95 90.17 94.88
300 66.15 82.74 91.67 58.76 56.32 77.4 94.11 72.35 74.12 83.87 51.89 100 90.82 75 50.75 65.86 74.97 94.83 98.12 79.04 80.14 92.24 38.01 73.45 72.41 90.13 95.03
